"","rmse","time","model_","feature","model","par"
"1",20.1672946263318,45061.43,"Adaptive-Network-Based Fuzzy Inference System","raw","ANFIS","num.labels_max.iter: 3_10"
"2",8.36974894579205,23.2260000000024,"Bagged MARS","raw","bagEarth","nprune_degree: 2_1"
"3",8.5902369542571,11.9179999999978,"Bagged MARS using gCV Pruning","raw","bagEarthGCV","degree: 1"
"4",11.3851400141627,2.44800000000396,"Bayesian Generalized Linear Model","raw","bayesglm","parameter: 1"
"5",8.38436133906037,946.154999999999,"The Bayesian lasso","raw","blasso","sparsity: 0.3"
"6",8.35246353124077,959.834999999999,"Bayesian Ridge Regression (Model Averaged)","raw","blassoAveraged","parameter: 1"
"7",8.38254582312582,947.904000000002,"Bayesian Ridge Regression","raw","bridge","parameter: 1"
"8",8.37552248634013,2.573,"Elasticnet","raw","enet","fraction_lambda: 0.073967908276245_0.340331063241597"
"9",8.49584503154725,7.71599999999989,"Ridge Regression with Variable Selection","raw","foba","k_lambda: 2_0.001"
"10",11.9097308727646,236528.096,"Simplified TSK Fuzzy Rules","raw","FS","num.labels_max.iter: 3_100"
"11",11.0184291562362,1.08999999999651,"Gaussian Process","raw","gaussprLinear","parameter: 1"
"12",8.36125621732812,2.69199999998091,"Gaussian Process with Polynomial Kernel","raw","gaussprPoly","degree_scale: 1_0.001"
"13",8.53536383778813,1.10899999999674,"Gaussian Process with Radial Basis Function Kernel","raw","gaussprRadial","sigma: 0.00429899235639093"
"14",8.58160724258533,23.2999999999884,"Stochastic Gradient Boosting","raw","gbm","n.trees_interaction.depth_shrinkage_n.minobsinnode: 50_1_0.1_20"
"15",9.26747475441239,1.5109999999986,"Multivariate Adaptive Regression Splines","raw","gcvEarth","degree: 1"
"16",8.46552076602996,11644.823,"Fuzzy Rules via MOGUL","raw","GFS","max.gen_max.iter_max.tune: 10_10_10"
"17",11.3853403345072,206586.565,"Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems","raw","GFS","popu.size_num.labels_max.gen: 10_3_10"
"18",12.1585780852391,2.66800000000512,"Negative Binomial Generalized Linear Model","raw","glm","link: 3"
"19",11.5850078676785,1.0690000000177,"Generalized Linear Model","raw","glm","parameter: 1"
"20",8.53704789246893,1.57099999999627,"glmnet","raw","glmnet","alpha_lambda: 1_0.299792736308136"
"21",10.5074780111884,267.839000000036,"Generalized Linear Model with Stepwise Feature Selection","raw","glmStepAIC","parameter: 1"
"22",9.72900092734392,19210.75,"Hybrid Neural Fuzzy Inference System","raw","HYFIS","num.labels_max.iter: 3_10"
"23",8.35776970050586,1.53899999998976,"Independent Component Regression","raw","icr","n.comp: 1"
"24",8.44192412355383,0.939000000013039,"Partial Least Squares","raw","kernelpls","ncomp: 1"
"25",8.64779223874962,1.61699999996927,"k-Nearest Neighbors","raw","kknn","kmax_distance_kernel: 9_2_1"
"26",8.48941063833935,0.910000000032596,"k-Nearest Neighbors","raw","knn","k: 9"
"27",8.36506356323743,908.814000000013,"Polynomial Kernel Regularized Least Squares","raw","krlsPoly","lambda_degree: NA_1"
"28",8.38746256400883,49.7919999999576,"Radial Basis Function Kernel Regularized Least Squares","raw","krlsRadial","lambda_sigma: NA_163.924269255886"
"29",8.4795707101241,1.17399999999907,"Least Angle Regression","raw","lars","fraction: 0.05"
"30",8.38452369703583,1.09300000005169,"Least Angle Regression","raw","lars2","step: 2"
"31",8.75904988244621,1.58799999998882,"The lasso","raw","lasso","fraction: 0.1"
"32",8.53255722774309,0.989000000001397,"Linear Regression with Backwards Selection","raw","leapBackward","nvmax: 2"
"33",8.55267359556881,0.958999999973457,"Linear Regression with Forward Selection","raw","leapForward","nvmax: 2"
"34",8.47885400930597,0.908999999985099,"Linear Regression with Stepwise Selection","raw","leapSeq","nvmax: 2"
"35",11.4728862953508,0.967000000004191,"Linear Regression","raw","lm","intercept: TRUE"
"36",11.1156847912805,139.904000000039,"Linear Regression with Stepwise Selection","raw","lmStepAIC","parameter: 1"
"37",8.99200897431857,4.73100000002887,"Multi-Layer Perceptron","raw","mlp","size: 5"
"38",9.11905328580941,145.097000000009,"Multi-Layer Perceptron, with multiple layers","raw","mlpML","layer1_layer2_layer3: 100_50_100"
"39",8.98635445950051,9.26199999998789,"Multi-Layer Perceptron","raw","mlpWeightDecay","size_decay: 1_1e-04"
"40",8.84293136926725,9.04800000000978,"Multi-Layer Perceptron, multiple layers","raw","mlpWeightDecayML","layer1_layer2_layer3_decay: 1_0_0_1e-04"
"41",10.6949114961281,86.4710000000196,"Monotone Multi-Layer Perceptron Neural Network","raw","monmlp","hidden1_n.ensemble: 1_1"
"42",10.2411551375478,56.7880000000005,"Multi-Step Adaptive MCP-Net","raw","msaenet","alphas_nsteps_scale: 0.05_2_2"
"43",26.2887372345206,2.7730000000447,"Neural Network","raw","nnet","size_decay: 1_0"
"44",8.39861645084864,0.908999999985099,"Non-Negative Least Squares","raw","nnls","parameter: 1"
"45",8.36807487504149,95.8099999999977,"Tree-Based Ensembles","raw","nodeHarvest","maxinter_mode: 3_1"
"46",8.3843562838839,0.919999999983702,"Non-Informative Model","raw","null","parameter: 1"
"47",8.39010834681681,18.560999999987,"Parallel Random Forest","raw","parRF","mtry: 2"
"48",8.38871128456741,8.28100000001723,"partDSA","raw","partDSA","cut.off.growth_MPD: 1_0.1"
"49",26.2862411732677,3.54399999999441,"Neural Networks with Feature Extraction","raw","pcaNNet","size_decay: 1_0"
"50",8.35046878471559,1.03700000001118,"Principal Component Analysis","raw","pcr","ncomp: 2"
"51",8.82494353771191,4.71100000001024,"Penalized Linear Regression","raw","penalized","lambda1_lambda2: 4_4"
"52",8.36614347332693,0.961000000010245,"Partial Least Squares","raw","pls","ncomp: 1"
"53",8.39512497600414,14.070000000007,"Partial Least Squares Generalized Linear Models ","raw","plsRglm","nt_alpha.pvals.expli: 1_1"
"54",12.3720931864217,3.3520000000135,"Projection Pursuit Regression","raw","ppr","nterms: 1"
